view,repeat,success,steps,final_distance,min_distance,wall_time_s,timestamp
mid_esophageal_4chamber,1,1,15,0.100692,0.100692,0.80,2026-08-20T19:31:41
mid_esophageal_2chamber,1,1,17,0.119339,0.119339,0.90,2026-08-20T19:31:41
mid_esophageal_long_axis,1,1,9,0.134311,0.134311,0.50,2026-08-20T19:31:41
transgastric_short_axis,1,0,500,0.696032,0.279750,25.05,2026-08-20T19:31:41
mid_esophageal_4chamber,2,1,5,0.144276,0.144276,0.30,2026-08-20T19:31:41
mid_esophageal_2chamber,2,1,5,0.128157,0.128157,0.30,2026-08-20T19:31:41
mid_esophageal_long_axis,2,1,7,0.092581,0.092581,0.40,2026-08-20T19:31:41
transgastric_short_axis,2,0,500,0.543850,0.160225,25.05,2026-08-20T19:31:41
mid_esophageal_4chamber,3,1,5,0.139125,0.139125,0.30,2026-08-20T19:31:41
mid_esophageal_2chamber,3,1,4,0.129092,0.129092,0.25,2026-08-20T19:31:41
mid_esophageal_long_axis,3,1,7,0.092581,0.092581,0.40,2026-08-20T19:31:41
transgastric_short_axis,3,0,500,0.548268,0.225307,25.05,2026-08-20T19:31:41
mid_esophageal_4chamber,4,1,5,0.139121,0.139121,0.30,2026-08-20T19:31:41
mid_esophageal_2chamber,4,1,4,0.129090,0.129090,0.25,2026-08-20T19:31:41
mid_esophageal_long_axis,4,1,7,0.068728,0.068728,0.40,2026-08-20T19:31:41
transgastric_short_axis,4,0,500,0.550517,0.224698,25.05,2026-08-20T19:31:41
mid_esophageal_4chamber,5,1,5,0.139125,0.139125,0.30,2026-08-20T19:31:41
mid_esophageal_2chamber,5,1,4,0.129091,0.129091,0.25,2026-08-20T19:31:41
mid_esophageal_long_axis,5,1,7,0.092581,0.092581,0.40,2026-08-20T19:31:41
transgastric_short_axis,5,0,500,0.700918,0.204207,25.05,2026-08-20T19:31:41
