view,repeat,success,steps,final_distance,min_distance,wall_time_s,timestamp
mid_esophageal_4chamber,1,0,200,0.152724,0.077882,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,1,0,200,0.589189,0.088332,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,1,0,200,0.469068,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,1,0,200,0.721946,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,2,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,2,0,200,0.140355,0.081975,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,2,0,200,0.714330,0.117572,10.05,2026-08-31T11:55:53
transgastric_short_axis,2,0,200,0.522014,0.199525,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,3,0,200,0.950955,0.126770,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,3,0,200,0.873231,0.073844,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,3,0,200,0.426038,0.031529,10.05,2026-08-31T11:55:53
transgastric_short_axis,3,0,200,0.722284,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,4,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,4,0,200,0.341205,0.064140,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,4,0,200,0.762307,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,4,0,200,0.332415,0.204514,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,5,0,200,0.153308,0.129037,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,5,0,200,0.153132,0.090876,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,5,0,200,0.356258,0.139127,10.05,2026-08-31T11:55:53
transgastric_short_axis,5,0,200,0.721952,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,6,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,6,0,200,0.367286,0.085118,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,6,0,200,0.638872,0.042284,10.05,2026-08-31T11:55:53
transgastric_short_axis,6,0,200,0.418034,0.199106,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,7,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,7,0,200,0.302703,0.073844,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,7,0,200,0.140097,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,7,0,200,0.545004,0.263319,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,8,0,200,0.950805,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,8,0,200,0.562775,0.069578,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,8,0,200,0.632126,0.112794,10.05,2026-08-31T11:55:53
transgastric_short_axis,8,0,200,0.332415,0.204514,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,9,0,200,0.153308,0.132153,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,9,0,200,0.316801,0.099114,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,9,0,200,0.469068,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,9,0,200,0.721971,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,10,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,10,0,200,0.315504,0.084913,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,10,0,200,0.140167,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,10,0,200,0.462836,0.199106,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,11,0,200,0.895163,0.122705,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,11,0,200,0.873231,0.073844,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,11,0,200,0.553135,0.080763,10.05,2026-08-31T11:55:53
transgastric_short_axis,11,0,200,0.722283,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,12,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,12,0,200,0.562775,0.069578,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,12,0,200,0.432368,0.122298,10.05,2026-08-31T11:55:53
transgastric_short_axis,12,0,200,0.295102,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,13,0,200,0.130569,0.129240,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,13,0,200,0.574834,0.088116,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,13,0,200,0.533773,0.128220,10.05,2026-08-31T11:55:53
transgastric_short_axis,13,0,200,0.721975,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,14,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,14,0,200,0.153178,0.089806,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,14,0,200,0.404367,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,14,0,200,0.722288,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,15,0,200,0.151621,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,15,0,200,0.562775,0.069578,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,15,0,200,0.225701,0.072375,10.05,2026-08-31T11:55:53
transgastric_short_axis,15,0,200,0.332415,0.204514,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,16,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,16,0,200,0.712265,0.072944,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,16,0,200,0.237299,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,16,0,200,0.722288,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,17,0,200,0.824566,0.088348,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,17,0,200,0.280884,0.055380,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,17,0,200,0.499372,0.042077,10.05,2026-08-31T11:55:53
transgastric_short_axis,17,0,200,0.722185,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,18,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,18,0,200,0.403607,0.073844,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,18,0,200,0.140167,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,18,0,200,0.714726,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,19,0,200,0.895885,0.137701,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,19,0,200,0.259196,0.088116,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,19,0,200,0.220027,0.068513,10.05,2026-08-31T11:55:53
transgastric_short_axis,19,0,200,0.721970,0.263318,10.05,2026-08-31T11:55:53
mid_esophageal_4chamber,20,0,200,0.950807,0.144276,10.05,2026-08-31T11:55:53
mid_esophageal_2chamber,20,0,200,0.195250,0.099114,10.05,2026-08-31T11:55:53
mid_esophageal_long_axis,20,0,200,0.550096,0.081953,10.05,2026-08-31T11:55:53
transgastric_short_axis,20,0,200,0.693014,0.263318,10.05,2026-08-31T11:55:53
