step,joint_dist
50,0.148921
51,0.920991
52,0.148307
53,0.930483
54,0.148966
55,0.920543
56,0.148271
57,0.930887
58,0.149016
59,0.920064
60,0.148233
61,0.931318
62,0.149090
63,0.919520
64,0.148190
65,0.931804
66,0.149192
67,0.918874
68,0.148141
69,0.932377
70,0.149316
71,0.918109
72,0.148083
73,0.933054
74,0.149464
75,0.917198
76,0.148017
77,0.933853
78,0.149641
79,0.916115
80,0.147944
81,0.934788
82,0.149854
83,0.914836
84,0.147862
85,0.935882
86,0.150110
87,0.913324
88,0.147877
89,0.937289
90,0.150492
91,0.911356
92,0.147900
93,0.939116
94,0.150998
95,0.908760
96,0.147974
97,0.941429
98,0.151674
99,0.905402
100,0.148125
101,0.944366
102,0.151966
103,0.901468
104,0.149049
105,0.946640
106,0.152343
107,0.898406
108,0.149872
109,0.948117
110,0.152722
111,0.896218
112,0.150406
113,0.949219
114,0.152953
115,0.894580
116,0.150864
117,0.949948
118,0.153141
119,0.893473
120,0.151168
121,0.950437
122,0.153261
123,0.892727
124,0.151382
125,0.950751
126,0.153341
127,0.892244
128,0.151523
129,0.950933
130,0.153348
131,0.891981
132,0.151642
133,0.950955
134,0.153334
135,0.891958
136,0.151685
137,0.950892
138,0.153332
139,0.892046
140,0.151656
141,0.950870
142,0.153313
143,0.892093
144,0.151658
145,0.950823
146,0.153305
147,0.892164
148,0.151640
149,0.950793
150,0.153302
151,0.892208
152,0.151622
153,0.950784
154,0.153304
155,0.892219
156,0.151613
157,0.950791
158,0.153307
159,0.892208
160,0.151612
161,0.950802
162,0.153309
163,0.892190
164,0.151617
165,0.950810
166,0.153310
167,0.892179
168,0.151621
169,0.950812
170,0.153309
171,0.892176
172,0.151624
173,0.950810
174,0.153309
175,0.892181
176,0.151623
177,0.950807
178,0.153308
179,0.892185
180,0.151622
181,0.950806
182,0.153308
183,0.892186
184,0.151621
185,0.950806
186,0.153308
187,0.892186
188,0.151621
189,0.950807
190,0.153308
191,0.892185
